专利名,申请号,申请日,摘要,申请人,申请人地址,发明人,IPC分类号,专利号,公开日,主分类号,转化收益（万元）
合成孔径雷达复数图像数据压缩方法,01118552,2001-06-01,本发明公开了一种合成孔径雷达复数图像数据压缩方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,王贞松、谢列宾,G06F8/65,CN01118552A,2004-04-28,G06F8,0.5
一种LED灯光无线控制系统,200610112549.5,2006-08-23,本发明公开了一种一种LED灯光无线控制系统的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,赵兵；杨宇；徐勇军；李晓维,G06F8/65,CN200610112549.5A,2010-11-10,G06F8,3
一种可信路由器认证系统和方法,200710175725.4,2007-10-10,本发明公开了一种一种可信路由器认证系统和方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,张珺；刘靖；许智君；张玉军；李军；叶新铭,G06F9/50,CN200710175725.4A,2011-08-10,G06F9,1.5
基于图像质量和码率约束的JPEG2000码率控制方法,200610171509.8,2006-12-30,本发明涉及基于图像质量和码率约束的JPEG2000码率控制方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,李玲；王贞松,G06F17/30,CN200610171509.8A,2009-07-15,G06F17,1.5
一种硬盘扇区级数据加密解密方法及系统,200510086510.6,2005-09-23,本发明公开了一种一种硬盘扇区级数据加密解密方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,马士超；王贞松,G06F16/27,CN200510086510.6A,2009-11-18,G06F16,1
一种大规模机群系统的监控方法,200310119410,2003-12-10,本发明公开了一种一种大规模机群系统的监控方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,李博；马捷,G06F21/60,CN200310119410A,2006-08-16,G06F21,13
一种网络内存服务系统及其构建方法,200410090698.7,2004-11-12,本发明公开了一种一种网络内存服务系统及其构建方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,孙国忠；樊建平；陈明宇,G06F9/50,CN200410090698.7A,2008-08-27,G06F9,13
一种利用组通信系统进行数据库复制的方法和中间件,200510055215.4,2005-03-16,本发明涉及一种利用组通信系统进行数据库复制和中间件领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,"王勇；焦丽梅；王启荣
李小华",G06F3/06,CN200510055215.4A,2008-03-26,G06F3,13
一种远程内存服务器及其实现方法,200510098390.1,2005-09-09,本发明公开了一种一种远程内存服务器及其实现方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,李磊；樊建平；陈明宇；曹政,H04L12/24,CN200510098390.1A,2008-11-26,H04L12,13
具有硬件加速功能的智能以太网卡,200510135496.4,2005-12-31,本发明公开了一种具有硬件加速功能的智能以太网卡的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,吴冬冬；张佩珩；孙小涓；杨卫兵,H04L29/08,CN200510135496.4A,2009-12-23,H04L29,13
一种内存共享的系统和装置及方法,200710176352.2,2007-10-25,本发明公开了一种一种内存共享和装置及方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,张翔；马捷；苗艳超,H04L29/08,CN200710176352.2A,2009-05-20,H04L29,13
一种用于维持多通道顺序规则的装置及相应方法,200810223725.1,2008-10-09,本发明涉及一种用于维持多通道顺序规则及相应方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,陈飞；杨晓君；孙凝晖；赵晓芳；安学军,G06F11/30,CN200810223725.1A,2011-08-17,G06F11,13
一种高密度多处理器系统及其节点控制器,201010236543.5,2010-07-22,本发明公开了一种一种高密度多处理器系统及其节点控制器的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,曹政；王凯；陈飞；刘锐；胡涛；安学军；孙凝晖,G06F17/30,CN201010236543.5A,2011-08-31,G06F17,13
一种统计机器翻译中的在线翻译模型选择方法和系统,200710099724.6,2007-05-29,本发明涉及一种统计机器翻译中的在线翻译模型选择方法和系统领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,吕雅娟；刘群；黄瑾,G06F16/27,CN200710099724.6A,2009-08-12,G06F16,13
一种融合了句型模板和统计机器翻译技术的翻译方法,200610165532.6,2006-12-21,本发明涉及一种融合了句型模板和统计机器翻译技术的翻译方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,付雷；黄瑾；何中军；吕雅娟；刘群,G06F16/27,CN200610165532.6A,2009-09-23,G06F16,13
一种中文新词语的检测方法及其检测系统,200410000651.7,2004-01-15,本发明公开了一种一种中文新词语的检测方法及其检测系统的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,邹纲；刘群,H04L29/08,CN200410000651.7A,2009-10-28,H04L29,13
一种机器翻译自动评测方法及其系统,200410000628.8,2004-01-13,本发明公开了一种一种机器翻译自动评测方法及其系统的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,刘群；刘洋,G06F16/27,CN200410000628.8A,2009-10-28,G06F16,13
一种在虚拟化环境中I/O设备重构的方法及系统,200810239739.2,2008-12-16,本发明涉及一种在虚拟化环境中I/O设备重构领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,杨亚军；熊星；孙毓忠,G06F9/50,CN200810239739.2A,2010-06-23,G06F9,13
面向多核平台和网络化操作系统的输入输出系统及方法,200910090610.4,2009-08-31,本发明涉及面向多核平台和网络化操作系统的输入输出系统及方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,杨亚军；王若倪；孙毓忠,G06N3/04,CN200910090610.4A,2011-11-16,G06N3,13
一种H.264标准CAVLC残差系数的解码方法,200710120442,2007-08-17,本发明涉及一种H.264标准CAVLC残差系数的解码方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,张冬明；张勇东；李锦涛,H04L29/08,CN200710120442A,2011-02-09,H04L29,13
一种运动矢量预测方法,200610080409.4,2006-05-12,本发明公开了一种一种运动矢量预测方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,沈燕飞；张勇东；李锦涛,G06F3/06,CN200610080409.4A,2011-02-09,G06F3,13
一种树形块结构及多帧参考的运动估计方法和装置,200410043274.5,2004-05-17,本发明涉及一种树形块结构及多帧参考的运动估计方法和装置领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,彭聪；黄晁；李锦涛,G06F17/30,CN200410043274.5A,2006-11-29,G06F17,13
一种帧内图像的亮度预测编码方法,200510002494.8,2005-01-25,本发明公开了一种一种帧内图像的亮度预测编码方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,张冬明；沈燕飞；林守勋黄晁；余乐军,H04L29/08,CN200510002494.8A,2008-10-15,H04L29,13
一种实现无线传感器网络可视化的方法,200610144351.5,2009-06-10,本发明公开了一种一种实现无线传感器网络可视化的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,卢业伟；杨宇；夏鹏；徐勇军；李晓维,G06F16/27,CN200610144351.5A,2006-12-04,G06F16,5
AVS视频标准中时域直接模式运动矢量的计算方法和装置,201010110939.5,2010-02-10,本发明涉及AVS视频标准中时域直接模式运动矢量的计算方法和装置领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,邢云冰；陈益强；纪雯；张绘国,G06F21/60,CN201010110939.5A,2011-10-05,G06F21,5
一种多模协作通信的业务流分发系统及方法,200810226604.2,2008-11-17,本发明公开了一种一种多模协作通信的业务流分发系统及方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,葛雨明；孙毅；卢珊；袁珏,G06N3/04,CN200810226604.2A,2011-09-07,G06N3,1.5
一种基于域名的跨域接入控制系统及方法,200710308552.9,2007-12-29,本发明公开了一种一种基于域名的跨域接入控制系统及方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,许智君；张玉军；沈凌楠,G06F11/30,CN200710308552.9A,2011-08-31,G06F11,1
一种可编程安全处理器,200610144353.4,2006-12-04,本发明公开了一种一种可编程安全处理器的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,何子键；徐勇军；谢磊；李晓维,G06F3/06,CN200610144353.4A,2008-09-17,G06F3,5
一种网络层软切换方法及系统,200810222505.7,2008-09-18,本发明公开了一种一种网络层软切换方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,舒童；刘敏；宋翊麟；徐刚,G06F3/06,CN200810222505.7A,2011-07-20,G06F3,1
自适应地调节网络视频质量的方法,02159354,2002-12-26,本发明公开了一种自适应地调节网络视频质量的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,刘敏；吴贤国；石晶林；阚志刚,G06F9/50,CN02159354A,2005-11-09,G06F9,20.5
一种将用户IP地址同用户等级结合的视频点播方法,200710098612.9,2007-04-23,本发明涉及一种将用户IP地址同用户等级结合的视频点播方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,郑坤；刘敏；徐刚,G06F17/30,CN200710098612.9A,2009-07-01,G06F17,20.5
基于ＲＡＤＩＵＳ和ＤＩＡＭＥＴＥＲ协议的移动ＩＰ应用的兼容方法及系统,200810119536,2008-09-02,本发明提供了一种基于ＲＡＤＩＵＳ和ＤＩＡＭＥＴＥＲ协议的移动ＩＰ应用的兼容方法的技术方案。该方案通过创新的设计和方法，有效解决了现有技术中存在的问题，提高了系统的性能和可靠性，具有重要的实用价值。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,申砾；张娇；张玉军；王淼；张翰文；许智君；马超,G06F17/30,CN200810119536A,2012-12-19,G06F17,1
一种Ｐ２Ｐ网络可信控制方法及系统,200810223712.4,2008-10-08,本发明公开了一种一种Ｐ２Ｐ网络可信控制方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,张娇；张玉军；兰金鹤；胡琪,G06F3/06,CN200810223712.4A,2012-05-23,G06F3,1
一种多自治系统路由器级拓扑处理系统和方法,200810104102.2,2008-04-15,本发明公开了一种一种多自治系统路由器级拓扑处理系统和方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,谢振；梁伟；刘大鹏；陈沫；李丹；毕经平,G06N3/04,CN200810104102.2A,2012-07-04,G06N3,10
一种检测运行栈与静态数据区重叠的方法,200510093280.6,2005-08-23,本发明公开了一种一种检测运行栈与静态数据区重叠的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,谷晓铭；霍玮；桂剑；贾耀仓；张兆庆；冯晓兵,G06F11/30,CN200510093280.6A,2008-10-15,G06F11,0.5
一种解决多寄存器组冲突的方法,200510077171.5,2005-06-16,本发明公开了一种一种解决多寄存器组冲突的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,周峰；吴承勇；张兆庆,H04L29/08,CN200510077171.5A,2008-02-13,H04L29,0.5
一种网络处理器的数据包接收接口部件及其存储管理方法,200410050004.7,2004-06-25,本发明涉及一种网络处理器的数据包接收接口部件及其存储管理方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,"宫曙光；李华伟；徐宇锋
刘彤；李晓维",H04L12/24,CN200410050004.7A,2008-12-03,H04L12,5
一种基于数据流分析的访存合并优化方法,200510109045.3,2005-10-18,本发明公开了一种一种基于数据流分析的访存合并优化方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,刘弢；吴承勇,G06F9/50,CN200510109045.3A,2008-05-28,G06F9,2
基于局部相联查找的解决访存相关的方法和处理器,200610171521.9,2006-12-30,本发明涉及基于局部相联查找的解决访存相关和处理器领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,龙国平；范东睿；袁楠；张浩,H04L29/08,CN200610171521.9A,2009-09-30,H04L29,5
一种实现无回溯的最长前缀匹配搜索的方法和装置,200610165449.9,2006-12-20,本发明涉及一种实现无回溯的最长前缀匹配搜索和装置领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,张飞飞；鄢贵海；付斌章；李华伟；韩银和；刘彤；雷韶华,G06F3/06,CN200610165449.9A,2009-08-19,G06F3,5
一种光学遥感图像云检测方法,200910077651,2009-02-10,本发明公开了一种一种光学遥感图像云检测方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,单娜；郑天垚；王贞松,G06F8/65,CN200910077651A,2012-09-05,G06F8,1
标志集合式两维报文分类及查找方法和设备,200610072077.5,2006-04-06,本发明公开了一种标志集合式两维报文分类及查找方法和设备的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,刘彤；李华伟；李晓维,G06F21/60,CN200610072077.5A,2008-10-08,G06F21,5
一种对多媒体创建索引的方法,200810226247,2008-11-10,本发明公开了一种一种对多媒体创建索引的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,黄庆明；刘纯熙；蒋树强,G06F11/30,CN200810226247A,2012-04-18,G06F11,12
基于局部特征分析的计算机笔迹鉴别方法,200310104462,2003-10-29,本发明公开了一种基于局部特征分析的计算机笔迹鉴别方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,刘宏；李锦涛；崔国勤,G06F16/27,CN200310104462A,2006-06-07,G06F16,5
在视频压缩编码过程中实现目标轨迹跟踪的方法,201010534682.6,2010-11-03,本发明涉及在视频压缩编码过程中实现目标轨迹跟踪领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,邢云冰；陈益强；胡明清；黄启友,G06F9/50,CN201010534682.6A,2012-06-13,G06F9,5
一种网页分割方法,201010617741.6,2010-12-31,本发明公开了一种一种网页分割方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,邓铸辉；陈启华；王向东；钱跃良；林守勋,G06F17/30,CN201010617741.6A,2012-11-21,G06F17,10
一种视频编码中运动矢量搜索方法及装置,200810105462.4,2008-04-29,本发明公开了一种一种视频编码中运动矢量搜索方法及装置的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,张绘国；陈益强；纪雯；汤博,G06F9/50,CN200810105462.4A,2010-10-27,G06F9,5
网页信息查询方法及其系统,200910236057.0,2009-10-19,本发明公开了一种网页信息查询方法及其系统的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,卫冰洁；李亚楠；王斌；张森,G06F16/27,CN200910236057.0A,2011-08-24,G06F16,10
一种面向动态资源管理的软件故障模型及检测方法,03178449.6,2003-07-17,本发明涉及一种面向动态资源管理的软件故障模型及检测方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,张广梅；徐勇军；李晓维,G06N3/04,CN03178449.6A,2007-04-11,G06N3,5
基于会话启动协议的即时通讯系统中的即时消息过滤方法,200510130439.7,2005-12-08,本发明涉及基于会话启动协议的即时通讯系统中的即时消息过滤方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,傅川；刘晓宇；张国清,G06N3/04,CN200510130439.7A,2008-07-23,G06N3,5
一种人脸检测系统的评测方法及评测系统,200510001787.4,2005-01-21,本发明公开了一种一种人脸检测系统的评测方法及评测系统的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,刘宏；林守勋；钱跃良；李锦涛,G06F9/50,CN200510001787.4A,2008-01-09,G06F9,80
一种电话连续语音识别系统性能评测方法及其系统,200510011285,2005-01-28,本发明涉及一种电话连续语音识别系统性能评测方法及其系统领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,"王向东；栾焕博；林守勋；
钱跃良；刘宏；张勇东",G06F8/65,CN200510011285A,2008-10-15,G06F8,0.0
一种无误使用压缩算法的分布式监控系统及其方法,CN201310597586,2013-11-22,本发明涉及一种无误使用压缩算法的分布式监控系统及其方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,王博;孙毓忠;杨庆林;宋莹;,G06F9/50,CN201310597586A,2016-12-07,G06F9,20
一种基于数据压缩的可扩展的监控方法及系统,CN201310102333.0,2013-03-27,本发明公开了一种一种基于数据压缩的可扩展的监控方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,王博;孙毓忠;杨庆林;,G06N3/04,CN201310102333.0A,2016-12-07,G06N3,20
一种基于PCIe数据交换的通信方法及系统,CN201310038675.0,2013-01-31,本发明公开了一种一种基于PCIe数据交换的通信方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,孙凝晖;曹政;刘小丽;安学军;张佩珩;,H04L29/08,CN201310038675.0A,2015-12-23,H04L29,20
6LoWPAN网络密钥建立方法,201210003524.7,2012-01-06,本发明公开了一种6LoWPAN网络密钥建立方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,杨德兴;史红周;刘钦明;,G06F9/50,CN201210003524.7A,2014-03-12,G06F9,20
一种话音传输控制系统及方法,201110099439.0,2011-04-20,本发明公开了一种一种话音传输控制系统及方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,孙毅;宋翊麟;,G06F3/06,CN201110099439.0A,2014-03-26,G06F3,20
移动IP系统的单接口无缝切换方法及其系统,201110042408.1,2011-02-22,本发明公开了一种移动IP系统的单接口无缝切换方法及其系统的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,林辉;刘敏;周安福;,G06F8/65,CN201110042408.1A,2013-04-24,G06F8,20
一种智能防御DDoS攻击的方法和装置,CN201310384694.9,2013-08-29,本发明公开了一种一种智能防御DDoS攻击和装置的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,付乔宾;张广兴;谢高岗;贺泰华;董尚文;,G06F11/30,CN201310384694.9A,2016-08-31,G06F11,20
一种路由安全检测系统及检测方法,CN201310384312.2,2013-08-29,本发明公开了一种一种路由安全检测系统及检测方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,许刚;梁伟;景全亮;毕经平,H04L12/24,CN201310384312.2A,2016-08-31,H04L12,20
一种跨虚拟化数据中心的虚拟机在线迁移方法,201310016206.9,2013-01-16,本发明公开了一种一种跨虚拟化数据中心的虚拟机在线迁移方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,杨鹏斐;杨坤;宋莹;赵霞;孙毓忠;,H04L29/08,CN201310016206.9A,2015-09-16,H04L29,20
多种无线网络融合环境中的多媒体会话服务质量管理方法,200710065104.0,2007-04-03,本发明涉及多种无线网络融合环境中的多媒体会话服务质量管理方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,吉勋；周安福；刘敏；舒童,G06F17/30,CN200710065104.0A,2009-08-05,G06F17,10
一种基于远程直接存储访问的图形终端实现方法和系统,200410009925.9,2004-12-02,本发明涉及一种基于远程直接存储访问的图形终端实现方法和系统领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,孙凝晖；霍志刚；马捷,H04L29/08,CN200410009925.9A,2010-11-24,H04L29,45
一种面向SIP应用的业务流管理方法,200810225032.6,2008-10-24,本发明公开了一种一种面向SIP应用的业务流管理方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,王煜炜；吉勋；刘敏；周北春,G06F3/06,CN200810225032.6A,2011-08-17,G06F3,10
一种用于计算机网络的高精度时间同步设备、系统及方法,200810224891.3,2008-10-24,本发明涉及一种用于计算机网络的高精度时间同步设备、系统及方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,谢应科；王建东；祝超；谢高岗,G06F17/30,CN200810224891.3A,2012-12-12,G06F17,10
一种在结构化P2P网络中实现NAT穿越的方法和系统,201010174070.0,2010-05-12,本发明涉及一种在结构化P2P网络中实现NAT穿越和系统领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,马晨光；杨平改；王展；孙毅；吴海博,G06N3/04,CN201010174070.0A,2013-01-02,G06N3,5
一种PMIPv6垂直切换方法,201010228699.9,2010-07-09,本发明公开了一种一种PMIPv6垂直切换方法的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,周迪之;张瀚文;张玉军;彭鸽,G06F16/27,CN201010228699.9A,2013-07-24,G06F16,10
面向多核平台和分布式虚拟化环境的I/O系统及工作方法,200910093454.7,2009-09-21,本发明涉及面向多核平台和分布式虚拟化环境的I/O系统及工作方法领域，提供了一种新的技术实现方法。该方法通过优化算法和系统架构，显著提升了处理效率和用户体验，适用于大规模应用场景。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,杨亚军；王若倪；孙毓忠,G06F11/30,CN200910093454.7A,2011-11-16,G06F11,10
实现分布式I/O资源池化的方法及装置,201310240608.7,2013-06-18,本发明公开了一种实现分布式I/O资源池化及装置的实现方案。该方案采用先进的技术手段，实现了高效、稳定、安全的技术目标，为相关领域的发展提供了重要支撑。,中国科学院计算技术研究所,北京市海淀区中关村科学院南路6号,刘小丽、曹政、安学军、张佩珩、孙凝晖、王展,H04L29/08,CN201310240608.7A,2016-06-29,H04L29,15
